Airport,DepDelay_Mean,DepFlights,Arrivals,ArrivalsDelay_Mean
IAD,13.5,76033,76022,0.00018415721764752308
IND,17.764705882352942,42750,42732,0.0008658616493494337
ISP,24.035714285714285,10183,10180,-0.0018664047151277013
JAN,49.333333333333336,12609,12606,-0.00015865460891638903
JAX,11.956521739130435,32685,32702,0.0006421625588649012
LAS,31.800829875518673,172876,172871,0.00045698815880049285
LAX,30.975409836065573,215608,215685,-6.027308343185664e-05
LBB,9.076923076923077,8249,8248,0.00048496605237633366
LIT,18.5,15369,15372,0.00039032006245121
MAF,41.416666666666664,6839,6840,0.0008771929824561404
MCI,18.26388888888889,59370,59361,0.00032007547042671116
MCO,17.198275862068964,130872,130859,-0.00017576169770516358
MDW,44.198237885462554,87619,87600,-0.00011415525114155251
MHT,36.83870967741935,18588,18582,0.0011839414487138092
MSY,21.542857142857144,39422,39423,-0.00035512264414174464
OAK,29.368055555555557,62535,62533,-0.00022388179041466107
OKC,13.636363636363637,25152,25154,0.00015902043412578516
OMA,30.875,27007,27004,0.00040734705969486
ONT,18.089285714285715,35072,35084,0.0004845513624444191
ORF,33.61538461538461,16458,16455,0.0029170464904284413
PBI,14.153846153846153,27822,27827,0.0022999245337262373
PDX,26.166666666666668,57860,57858,0.0003111065021258944
PHL,19.77777777777778,100499,100483,-0.00016918284684971587
PHX,22.575,199408,199416,0.00019055642476030008
PIT,16.26086956521739,41800,41791,-0.00026321456772989397
PVD,16.08823529411765,22509,22500,0.0014222222222222223
RDU,13.806451612903226,60179,60186,-0.00016615159671684444
RNO,24.15,24286,24274,0.005437917112960369
RSW,19.363636363636363,27136,27131,-0.0001842910323983635
SAN,29.75728155339806,93775,93750,-3.2e-05
SAT,13.3125,45269,45260,-4.418912947414936e-05
SDF,15.80952380952381,22458,22448,-0.0005791161796151105
SEA,23.404255319148938,109069,109075,-3.667201466880587e-05
SFO,79.92307692307692,140587,140579,0.000220516577867249
SJC,26.0875,57136,57143,0.00043749890625273435
SLC,25.591836734693878,139088,139077,0.00011504418415697779
SMF,20.69047619047619,53056,53049,-0.0003016079473694132
SNA,13.289473684210526,47376,47376,0.005150287065180682
STL,16.026666666666667,62733,62739,-9.563429445799264e-05
TPA,22.50588235294118,78179,78171,-0.0004989062440035307
TUL,19.35,23459,23455,0.0008953314858239182
TUS,14.0,26661,26678,-0.00014993627708224006
ABQ,17.107692307692307,41146,41144,7.2914641259965e-05
ALB,5.428571428571429,13474,13468,0.002079002079002079
AMA,8.666666666666666,7496,7490,-0.00040053404539385846
AUS,8.285714285714286,49623,49637,0.0002820476660555634
BDL,5.052631578947368,29449,29445,-0.00016980811682798438
BHM,4.555555555555555,23679,23679,-0.00012669453946534905
BNA,9.813953488372093,57539,57544,-0.0001564020575559572
BOI,14.105263157894736,17024,17023,0.0014098572519532398
BUF,12.647058823529411,26281,26277,-0.0003805609468356357
