Origin,Year,Cancelled,Cancelled,Delayed,Delayed,TotalFlights,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,airport,city,lat,long
ATL,2008.0,0.014064574377409392,5830.0,0.4213434997296865,175017.0,414513.0,11.465194729596424,10.6939255587846,642.0949804236872,18.359373108120227,3.7912668228642823,15.0960373699098,0.020031445303071858,15.028460982745488,William B Hartsfield-Atlanta Intl,Atlanta,33.64044444,-84.42694444
ORD,2008.0,0.0431720000772308,15050.0,0.4541417356758346,159427.0,350380.0,17.51980612590165,16.12071285824182,684.2992973725113,17.06742678911138,3.6685128117614276,14.96916438776996,0.02411614510384934,26.366802288221866,Chicago O'Hare International,Chicago,41.979595,-87.90446417
DFW,2008.0,0.02576931305639871,7272.0,0.4520794982107363,127749.0,281281.0,11.805089181670667,10.37026201414451,772.2818793527108,20.570465963310692,3.111832853750617,13.12091326532323,0.013835778773590941,14.280415417940162,Dallas-Fort Worth International,Dallas-Fort Worth,32.89595056,-97.0372
DEN,2008.0,0.011283360348014236,2725.0,0.430364778893182,104414.0,241443.0,9.857425234273885,7.932467988197883,812.4354057216351,14.880630720892327,1.5168259733696798,13.157669343295685,0.030175452790371777,20.211849421630514,Denver Intl,Denver,39.85840806,-104.6670019
LAX,2008.0,0.013192924474857181,2838.0,0.40181564522757834,87258.0,215608.0,8.610433084464335,5.171985905726003,998.3738349692193,17.306252215227072,0.7856282026931928,12.84293632636903,0.0990890964893562,19.85880687288329,Los Angeles International,Los Angeles,33.94253611,-118.40807439999999
PHX,2008.0,0.009377627867220061,1875.0,0.41381512356555666,82915.0,199408.0,8.23141117818001,4.333933054045524,872.5055672219128,18.557991945521724,1.170151424184107,11.379508134512518,0.15315365258492655,16.310411675310217,Phoenix Sky Harbor International,Phoenix,33.43416667,-112.00805559999999
IAH,2008.0,0.01814730931948622,3261.0,0.46666375953646066,87139.0,185172.0,10.37273364962288,8.547977096830165,840.5766255143566,16.643178569277268,3.7350665799198555,17.584283809705536,0.2896252488177358,15.632227840358055,George Bush Intercontinental,Houston,29.98047222,-95.33972222
LAS,2008.0,0.012114752346494477,2057.0,0.4395417370497389,76240.0,172876.0,10.519589490808631,5.3841891307917535,931.7403713576083,13.370577381580892,1.257314508829391,11.07251793501833,0.11691739081104473,25.999095223946213,McCarran International,Las Vegas,36.08036111,-115.15233329999998
DTW,2008.0,0.015830068246239372,2583.0,0.36666978308730735,59837.0,161989.0,9.186796303234829,9.67189313484837,568.758945372934,18.83518972296666,4.085544987372558,17.89529790184559,0.06933855447429424,9.664293686201825,Detroit Metropolitan-Wayne County,Detroit,42.21205889,-83.34883583
SFO,2008.0,0.019953463796579994,2790.0,0.41308464214870577,58200.0,140587.0,13.468082014077659,10.7180206946763,1029.5499148674294,19.17180792072774,1.1828763596057499,9.95211268038975,0.03593702674645161,27.763655313781854,San Francisco International,San Francisco,37.61900194,-122.3748433
SLC,2008.0,0.007793425558326281,1090.0,0.31799495541050493,44669.0,139088.0,5.141225790735667,2.9663306562654377,680.8957452402133,16.76913959914435,2.189084831052252,12.932100345589518,0.10924827581829238,13.991391925269511,Salt Lake City Intl,Salt Lake City,40.78838778,-111.9777731
EWR,2008.0,0.03229663988635083,4511.0,0.5003378071143343,69612.0,138506.0,18.197791922628582,16.989957026516276,970.8303651390783,15.941663040094525,2.462733944207272,18.91551594413777,0.081613035371408,24.602311074043524,Newark Intl,Newark,40.69249722,-74.16866056
MCO,2008.0,0.00828064480805009,1083.0,0.38822660169013057,51364.0,130872.0,9.749066365895368,6.522316256209387,900.5127004139841,11.708919985664211,1.9967413368340077,19.508451712402167,0.07340126301431939,23.27590044643351,Orlando International,Orlando,28.42888889,-81.31602778
MSP,2008.0,0.013205250795520528,1729.0,0.343361132583125,44958.0,130289.0,7.421426567064077,7.459320841570879,800.6592917371732,16.65054471275833,3.9210220621376215,18.3793716334871,0.013581345436069639,9.286201552496804,Minneapolis-St Paul Intl,Minneapolis,44.88054694,-93.2169225
CLT,2008.0,0.015808810570448664,1986.0,0.3881101012398909,48936.0,126045.0,9.448646935026693,7.888853908063468,626.208568687535,15.130444238111048,1.367415027726498,20.176452957592335,0.1126845971820548,14.980331303678483,Charlotte/Douglas International,Charlotte,35.21401111,-80.94312583
LGA,2008.0,0.04804974804140424,5753.0,0.3213658486299885,38484.0,119135.0,11.142686149558061,9.984863478239614,687.7603380655984,9.899710583427334,4.468226880058274,19.11371108325483,0.016533189280399346,23.65201306693346,LaGuardia,New York,40.77724306,-73.87260917
JFK,2008.0,0.026135798425096887,3196.0,0.365961073190702,43904.0,118804.0,13.056280415760854,11.584859381991436,1166.8669979425415,16.52030703388449,4.245405601840293,24.9169050848168,0.06898462878410049,15.980969457440345,John F Kennedy Intl,New York,40.63975111,-73.77892556
BOS,2008.0,0.03097747013725764,3655.0,0.3172121097483386,37570.0,117915.0,9.550788469729023,9.132280578316779,856.8901352970535,12.114889954984205,3.1243215737346017,24.77905994043654,0.05673869492580876,18.43924218258964,Gen Edw L Logan Intl,Boston,42.3643475,-71.00517917
SEA,2008.0,0.01088189284055995,1142.0,0.4221487120803842,46162.0,109069.0,8.710427143344868,5.318098518983443,1214.1209282686127,16.919374717318288,1.5542541781550556,13.707885002544108,0.17356130501334344,16.248394986227115,Seattle-Tacoma Intl,Seattle,47.44898194,-122.30931310000001
BWI,2008.0,0.00966738496302844,1002.0,0.4485070166098079,46748.0,104074.0,10.062435077291095,6.980253709872802,701.3002619087496,13.46494378596662,2.2069936980921034,13.881232087379985,0.12288834605441161,23.953913600027093,Baltimore-Washington International,Baltimore,39.17540167,-76.66819833
